Edge TPU Compiler version 16.0.384591198
Input: drive/MyDrive/YOLO/yolov5-master/best-int8.tflite
Output: drive/MyDrive/YOLO/yolov5-master/best-int8_edgetpu.tflite

Operator                       Count      Status

LOGISTIC                       34         Mapped to Edge TPU
LOGISTIC                       32         More than one subgraph is not supported
RESIZE_NEAREST_NEIGHBOR        2          More than one subgraph is not supported
RESHAPE                        6          More than one subgraph is not supported
PAD                            2          More than one subgraph is not supported
PAD                            5          Mapped to Edge TPU
CONCATENATION                  5          Mapped to Edge TPU
CONCATENATION                  12         More than one subgraph is not supported
MAX_POOL_2D                    3          Mapped to Edge TPU
ADD                            3          More than one subgraph is not supported
ADD                            7          Mapped to Edge TPU
STRIDED_SLICE                  9          More than one subgraph is not supported
CONV_2D                        34         Mapped to Edge TPU
CONV_2D                        26         More than one subgraph is not supported
QUANTIZE                       5          More than one subgraph is not supported
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       1          Mapped to Edge TPU
MUL                            41         More than one subgraph is not supported
MUL                            34         Mapped to Edge TPU
