               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085798,            0.022901,            0.021414,             0.15947,             0.11141,            0.084494,            0.030691,            0.053263,            0.013051,            0.011355,            0.070233,           0.0033075,           0.0033075
                   1,            0.064888,            0.024929,            0.010723,             0.67047,             0.18302,             0.13082,            0.044331,            0.050168,           0.0097185,           0.0056553,            0.040101,           0.0065093,           0.0065093
                   2,            0.067765,            0.022507,           0.0067418,             0.63068,             0.20039,             0.11913,            0.048993,            0.049792,           0.0082636,           0.0044898,           0.0098376,           0.0095792,           0.0095792
                   3,            0.060286,            0.021177,           0.0057658,             0.72698,             0.22149,             0.20761,             0.09928,            0.047091,             0.00838,           0.0040642,            0.009406,            0.009406,            0.009406
                   4,            0.057967,            0.022048,           0.0080358,             0.71137,              0.2671,             0.18951,            0.082711,            0.041734,           0.0087763,           0.0039649,            0.009406,            0.009406,            0.009406
                   5,            0.052927,            0.021601,            0.006062,              0.8844,             0.29547,             0.35152,              0.1783,            0.035461,           0.0085355,           0.0037444,            0.009208,            0.009208,            0.009208
                   6,            0.050414,            0.022134,           0.0048333,             0.79638,             0.29708,             0.29376,             0.13549,            0.035246,           0.0078741,           0.0034011,             0.00901,             0.00901,             0.00901
                   7,            0.047355,             0.02153,             0.00484,             0.79174,              0.3183,             0.33237,             0.16177,            0.031966,           0.0076491,           0.0029498,            0.008812,            0.008812,            0.008812
                   8,            0.042977,            0.020277,           0.0038076,             0.83778,             0.35013,             0.41981,             0.22266,             0.03148,           0.0072602,           0.0027618,            0.008614,            0.008614,            0.008614
                   9,            0.041914,            0.020836,           0.0040814,             0.88403,             0.34615,             0.40842,             0.23693,            0.027771,           0.0070316,           0.0028621,            0.008416,            0.008416,            0.008416
                  10,            0.038705,            0.019748,           0.0044815,              0.8457,              0.3435,             0.38699,             0.20409,            0.027153,           0.0069063,           0.0028199,            0.008218,            0.008218,            0.008218
                  11,            0.040454,            0.019131,           0.0037986,             0.89035,             0.38992,             0.45358,             0.26233,            0.027212,           0.0067413,           0.0026318,             0.00802,             0.00802,             0.00802
                  12,            0.037853,            0.019211,           0.0049758,             0.90097,             0.37533,             0.44562,             0.22846,            0.025261,           0.0066963,           0.0025792,            0.007822,            0.007822,            0.007822
                  13,            0.037601,            0.019252,           0.0039786,             0.91788,             0.39788,             0.47688,             0.29506,            0.024482,           0.0065296,           0.0024033,            0.007624,            0.007624,            0.007624
                  14,            0.033887,             0.01879,           0.0044952,             0.88735,             0.38329,             0.51432,             0.30454,            0.025276,            0.006517,           0.0023095,            0.007426,            0.007426,            0.007426
                  15,            0.035643,            0.017335,           0.0035405,             0.87564,             0.38859,             0.62261,             0.31942,            0.025859,           0.0062215,           0.0021517,            0.007228,            0.007228,            0.007228
                  16,            0.032604,            0.017304,           0.0035674,              0.9145,             0.40849,             0.70466,             0.37215,             0.02391,           0.0062863,            0.002005,             0.00703,             0.00703,             0.00703
                  17,            0.033938,            0.018296,           0.0027689,             0.90383,              0.3992,             0.66706,             0.34439,            0.024739,           0.0063347,           0.0019645,            0.006832,            0.006832,            0.006832
                  18,            0.034737,            0.017304,           0.0026157,             0.46329,             0.86368,             0.73739,              0.4196,            0.023527,           0.0062719,           0.0018258,            0.006634,            0.006634,            0.006634
                  19,            0.031968,            0.016567,           0.0036214,             0.70975,             0.74955,             0.82104,             0.43428,            0.022332,           0.0063846,           0.0018108,            0.006436,            0.006436,            0.006436
                  20,            0.029412,            0.016833,           0.0026879,              0.7545,             0.70756,             0.80634,             0.45809,            0.021144,           0.0063309,           0.0015615,            0.006238,            0.006238,            0.006238
                  21,            0.029629,            0.016943,           0.0032108,             0.71785,             0.74957,             0.79997,             0.46734,            0.022613,           0.0061986,           0.0013598,             0.00604,             0.00604,             0.00604
                  22,            0.029866,            0.015986,           0.0032211,             0.68254,             0.73378,             0.74072,              0.4704,            0.020322,           0.0060564,           0.0013949,            0.005842,            0.005842,            0.005842
                  23,            0.028658,            0.016631,           0.0037695,             0.72023,             0.70879,             0.78047,             0.47991,            0.020605,           0.0059878,           0.0013498,            0.005644,            0.005644,            0.005644
                  24,            0.028386,             0.01616,           0.0025662,             0.78155,              0.8396,             0.84189,             0.50941,            0.019265,            0.006037,           0.0013347,            0.005446,            0.005446,            0.005446
                  25,            0.029706,            0.016196,           0.0028525,             0.77806,             0.80308,              0.7954,             0.49507,            0.017767,            0.006127,           0.0011638,            0.005248,            0.005248,            0.005248
                  26,            0.028789,             0.01553,           0.0026838,             0.70001,             0.80402,             0.76275,             0.42389,            0.019632,           0.0062223,          0.00099517,             0.00505,             0.00505,             0.00505
